customer_last_name,film_list
ABNEY,"BLACKOUT PRIVATE,CHOCOLAT HARRY,CLASH FREDDY,CONEHEADS SMOOCHY,CONQUERER NUTS,CONVERSATION DOWNHILL,DOUBLE WRATH,FREDDY STORM,GOODFELLAS SALUTE,HOBBIT ALIEN,JUGGLER HARDLY,KARATE MOON,LEGALLY SECRETARY,MADNESS ATTACKS,NIGHTMARE CHILL,POCUS PULP,SAGEBRUSH CLUELESS,SHOCK CABIN,STRICTLY SCARFACE,TRADING PINOCCHIO,WANDA CHAMBER"
ADAM,"AMADEUS HOLY,ANALYZE HOOSIERS,BOOGIE AMELIE,CHASING FIGHT,DANCING FEVER,DIVORCE SHINING,ENDING CROWDS,FREDDY STORM,GATHERING CALENDAR,GUYS FALCON,HANGING DEEP,JASON TRAP,KISS GLORY,LUST LOCK,MENAGERIE RUSHMORE,NEMO CAMPUS,NOON PAPI,ORIENT CLOSER,POSEIDON FOREVER,ROCKY WAR,SHEPHERD MIDSUMMER,SLEUTH ORIENT,SOMETHING DUCK,STRANGERS GRAFFITI,TIGHTS DAWN,TRAMP OTHERS,WAR NOTTING,WARDROBE PHANTOM"
ADAMS,"ALONE TRIP,AMADEUS HOLY,BETRAYED REAR,BOOGIE AMELIE,CHRISTMAS MOONSHINE,DOGMA FAMILY,GO PURPLE,HEDWIG ALTER,INSIDER ARIZONA,INSIDER ARIZONA,LEAGUE HELLFIGHTERS,MEMENTO ZOOLANDER,NETWORK PEAK,ORANGE GRAPES,PIANIST OUTFIELD,ROOM ROMAN,ROSES TREASURE,SEABISCUIT PUNK,SLING LUKE,SPY MILE,STEEL SANTA,SUNDANCE INVASION,SWARM GOLD,TREATMENT JEKYLL,WASH HEAVENLY,WOMEN DORADO,WRONG BEHAVIOR"
ALEXANDER,"AIRPORT POLLOCK,ANGELS LIFE,BRANNIGAN SUNRISE,BRIGHT ENCOUNTERS,DRACULA CRYSTAL,FURY MURDER,GENTLEMEN STAGE,INFORMER DOUBLE,JASON TRAP,JAWS HARRY,JEOPARDY ENCINO,LEAGUE HELLFIGHTERS,MIDSUMMER GROUNDHOG,MULHOLLAND BEAST,NOTTING SPEAKEASY,OZ LIAISONS,PANKY SUBMARINE,PEAK FOREVER,POCUS PULP,REBEL AIRPORT,ROXANNE REBEL,RUSH GOODFELLAS,SHAKESPEARE SADDLE,SHOW LORD,SLACKER LIAISONS,VIRGIN DAISY,WAGON JAWS"
ALLARD,"ALADDIN CALENDAR,BAKED CLEOPATRA,BINGO TALENTED,CABIN FLASH,CAMPUS REMEMBER,CELEBRITY HORN,CONTROL ANTHEM,DETAILS PACKER,EAGLES PANKY,FIGHT JAWBREAKER,FOOL MOCKINGBIRD,FORREST SONS,FORRESTER COMANCHEROS,GAMES BOWFINGER,HARPER DYING,LIAISONS SWEET,MALTESE HOPE,MASKED BUBBLE,MUSCLE BRIGHT,NOVOCAINE FLIGHT,PIZZA JUMANJI,PRIMARY GLASS,RIDER CADDYSHACK,ROBBERS JOON,SEARCHERS WAIT,SHAWSHANK BUBBLE,SILVERADO GOLDFINGER,SOMETHING DUCK,SORORITY QUEEN,STEERS ARMAGEDDON,TYCOON GATHERING,WONDERLAND CHRISTMAS"
ALLEN,"ARIZONA BANG,BEAUTY GREASE,BIRD INDEPENDENCE,CUPBOARD SINNERS,DESTINY SATURDAY,DETECTIVE VISION,DOOM DANCING,DUDE BLINDNESS,EMPIRE MALKOVICH,EMPIRE MALKOVICH,FURY MURDER,GRAPES FURY,HUSTLER PARTY,JASON TRAP,LOSER HUSTLER,MALKOVICH PET,METAL ARMAGEDDON,MUSCLE BRIGHT,NOVOCAINE FLIGHT,OLEANDER CLUE,ORANGE GRAPES,PEAK FOREVER,RUGRATS SHAKESPEARE,SIEGE MADRE,STEPMOM DREAM,STREAK RIDGEMONT,SUNRISE LEAGUE,SUPER WYOMING,WATCH TRACY,WONDERFUL DROP,WONKA SEA"
ALVAREZ,"AMISTAD MIDSUMMER,ANNIE IDENTITY,APACHE DIVINE,BIRDS PERDITION,BOOGIE AMELIE,BOUND CHEAPER,BRIGHT ENCOUNTERS,CADDYSHACK JEDI,CADDYSHACK JEDI,CALIFORNIA BIRDS,CONQUERER NUTS,FROGMEN BREAKING,HOLIDAY GAMES,HOMICIDE PEACH,INDEPENDENCE HOTEL,KNOCK WARLOCK,MINE TITANS,NATIONAL STORY,OSCAR GOLD,SILENCE KANE,SPLASH GUMP,SQUAD FISH,VANISHED GARDEN,WASTELAND DIVINE,WEREWOLF LOLA,WIZARD COLDBLOODED,WONKA SEA"
ANDERSON,"BOOGIE AMELIE,BULL SHAWSHANK,CAUSE DATE,CENTER DINOSAUR,CHASING FIGHT,CHILL LUCK,COLOR PHILADELPHIA,CONFIDENTIAL INTERVIEW,CREATURES SHAKESPEARE,DANCING FEVER,FANTASIA PARK,FARGO GANDHI,GORGEOUS BINGO,HUMAN GRAFFITI,LAMBS CINCINATTI,MOTHER OLEANDER,NOON PAPI,PATHS CONTROL,PIANIST OUTFIELD,ROLLERCOASTER BRINGING,SMOKING BARBARELLA,SOUTH WAIT,TELEMARK HEARTBREAKERS,WIND PHANTOM"
ANDREW,"BEACH HEARTBREAKERS,BLACKOUT PRIVATE,CLONES PINOCCHIO,CROOKED FROGMEN,CURTAIN VIDEOTAPE,DRAGON SQUAD,EGYPT TENENBAUMS,FIDELITY DEVIL,GARDEN ISLAND,HEAD STRANGER,HIGH ENCINO,HILLS NEIGHBORS,HOBBIT ALIEN,JUMPING WRATH,LEGEND JEDI,LOLA AGENT,MALLRATS UNITED,MUSCLE BRIGHT,NORTH TEQUILA,OPUS ICE,PITY BOUND,SLUMS DUCK,SMOKING BARBARELLA,STRANGER STRANGERS,VERTIGO NORTHWEST"
ANDREWS,"AGENT TRUMAN,ANNIE IDENTITY,ARMAGEDDON LOST,BEVERLY OUTLAW,CAMPUS REMEMBER,CHISUM BEHAVIOR,CITIZEN SHREK,CLEOPATRA DEVIL,COLOR PHILADELPHIA,ELEPHANT TROJAN,FANTASIA PARK,GIANT TROOPERS,HIGHBALL POTTER,MANCHURIAN CURTAIN,MUSIC BOONDOCK,ORANGE GRAPES,PERSONAL LADYBUGS,ROSES TREASURE,SAGEBRUSH CLUELESS,SPICE SORORITY,VOLCANO TEXAS,WARS PLUTO,WEDDING APOLLO"
